"University_link","Picture_Url","University_Name","nation_flag_picture","Country","City","Rank_In_Australia","Rank_In_World","Global_Score","Enrollment","Comparison"
"https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Melbourne","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Parkville","#1","#27","80.3","N/A",""
"https://www.usnews.com/education/best-global-universities/university-of-sydney-505369","https://www.usnews.com/object/image/00000157-8ffc-dca0-ad7f-cfffa0010000/$161004_UniofSydney?size=responsive300&update-time=1475589551709","University of Sydney","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Sydney","#2","#28","79.9","47,118",""
"https://www.usnews.com/education/best-global-universities/university-of-queensland-500164","https://www.usnews.com/object/image/00000157-902c-dca0-ad7f-d8bffa2f0000/$161004_UQ?size=responsive300&update-time=1475592705802","University of Queensland","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Brisbane","#3","#36","77.2","41,372",""
"https://www.usnews.com/education/best-global-universities/monash-university-500301","https://www.usnews.com/object/image/00000153-ec2c-d802-ab7f-feacb9230000/$160406_MonashU?size=responsive300&update-time=1459956316556","Monash University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Clayton","#4","#37","77.0","58,725","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of New South Wales Sydney","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Kensington","#4","#37","77.0","45,133","(tie)"
"https://www.usnews.com/education/best-global-universities/australian-national-university-503825","https://www.usnews.com/object/image/00000157-9042-ddc3-af5f-dbebc79a0000/$161004_ANU?size=responsive300&update-time=1475594208348","Australian National University","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Canberra","#6","#62","73.9","16,758",""
"https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Adelaide","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Adelaide","#7","#74","72.8","23,102","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-western-australia-503979","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Western Australia","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Crawley","#8","#83","72.2","18,405",""
"https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Technology Sydney","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg","Australia","Ultimo","#9","#112","69.0","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-auckland-503786","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Auckland","https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NZL.svg","New Zealand","Auckland","#10","#123","68.2","33,093","(tie)"
