"University_link","Picture_Url","University_Name","City","Rank_In_Canada","Rank_In_World","Global_Score","Enrollment","Comparison"
"https://www.usnews.com/education/best-global-universities/university-of-toronto-499968","https://www.usnews.com/object/image/00000155-8341-d393-a9f5-fbe9b3ad0000/$160624_university_of_toronto?size=responsive300&update-time=1558360216697","University of Toronto","Toronto","#1","#18","83.8","77,468",""
"https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976","https://www.usnews.com/object/image/00000155-7e9e-d3ec-a9fd-7fdfc7240000/$160623_UBC?size=responsive300&update-time=1466708333713","University of British Columbia","Vancouver","#2","#35","77.5","58,590",""
"https://www.usnews.com/education/best-global-universities/mcgill-university-499986","https://www.usnews.com/object/image/00000156-6b7c-d0b3-ad56-ff7dbd8b0000/$160808_McGillUniversity?size=responsive300&update-time=1470682544421","McGill University","Montreal","#3","#54","74.6","32,309",""
"https://www.usnews.com/education/best-global-universities/university-of-alberta-499977","https://www.usnews.com/object/image/00000155-9d06-d3ec-a9fd-dddfb0a90000/$160629_universityofalberta?size=responsive300&update-time=1467218510381","University of Alberta","Edmonton","#4","#136","67.1","32,338","(tie)"
"https://www.usnews.com/education/best-global-universities/mcmaster-university-502196","https://www.usnews.com/static-atlas/assets/img/education/education.svg","McMaster University","Hamilton","#5","#138","67.0","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/universite-de-montreal-506159","https://www.usnews.com/object/image/00000155-9de0-d393-a9f5-ffe8d2810000/$160629_universityofmontreal?size=responsive300&update-time=1467232711163","Universite de Montreal","Montreal","#6","#156","65.9","38,189","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-calgary-499975","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Calgary","Calgary","#7","#175","64.2","33,560","(tie)"
"https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Waterloo","Waterloo","#8","#191","63.5","34,306",""
"https://www.usnews.com/education/best-global-universities/university-of-ottawa-499972","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Ottawa","Ottawa","#9","#215","62.2","36,670","(tie)"
"https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Western University (University of Western Ontario)","London (Canada)","#10","#300","58.2","N/A","(tie)"
"https://www.usnews.com/education/best-global-universities/dalhousie-university-499990","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Dalhousie University","Halifax","#11","#314","57.7","16,901","(tie)"
"https://www.usnews.com/education/best-global-universities/simon-fraser-university-499981","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Simon Fraser University","Burnaby","#12","#317","57.6","26,981","(tie)"
