"University_link","Picture_Url","University_Name","City","Rank_In_India","Rank_In_World","Comparison","Global_Score","Enrollment"
"https://www.usnews.com/education/best-global-universities/tata-institute-of-fundamental-research-tifr-529777","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Tata Institute of Fundamental Research (TIFR)","Mumbai","#1","#452","(tie)","53.1","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-science-iisc-bangalore-505956","https://www.usnews.com/object/image/00000157-8cb5-dca0-ad7f-ccb7ccf20000/$161003_IISc?size=responsive300&update-time=1475534623655","Indian Institute of Science (IISC) - Bangalore","Bangalore","#2","#551","(tie)","49.6","3,990"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-bombay-501259","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (IIT) - Bombay","Mumbai","#3","#583","(tie)","48.7","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-madras-502278","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (IIT) - Madras","Chennai","#4","#605","(tie)","48.2","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-delhi-500856","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (IIT) - Delhi","New Delhi","#5","#717","(tie)","45.3","9,794"
"https://www.usnews.com/education/best-global-universities/university-of-delhi-504916","https://www.usnews.com/static-atlas/assets/img/education/education.svg","University of Delhi","New Delhi","#5","#717","(tie)","45.3","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-gandhinagar-529780","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (IIT) - Gandhinagar","Gandhinagar","#7","#725","(tie)","45.1","N/A"
"https://www.usnews.com/education/best-global-universities/panjab-university-528843","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Panjab University","Chandigarh","#8","#759","(tie)","44.2","N/A"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-kharagpur-500533","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (IIT) - Kharagpur","Kharagpur","#9","#764","(tie)","44.1","N/A"
"https://www.usnews.com/education/best-global-universities/christian-medical-college-hospital-cmch-vellore-529356","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Christian Medical College & Hospital (CMCH) Vellore","Vellore","#10","#770","(tie)","43.9","N/A"
"https://www.usnews.com/education/best-global-universities/aligarh-muslim-university-528840","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Aligarh Muslim University","Aligarh","#11","#787","(tie)","43.5","N/A"
"https://www.usnews.com/education/best-global-universities/all-india-institute-of-medical-sciences-aiims-new-delhi-500492","https://www.usnews.com/static-atlas/assets/img/education/education.svg","All India Institute of Medical Sciences (AIIMS) New Delhi","New Delhi","#12","#826","(tie)","42.4","N/A"
"https://www.usnews.com/education/best-global-universities/banaras-hindu-university-bhu-503462","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Banaras Hindu University (BHU)","Varanasi","#12","#826","(tie)","42.4","N/A"
"https://www.usnews.com/education/best-global-universities/vellore-institute-of-technology-529209","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Vellore Institute of Technology","Tamil Nadu","#14","#844","(tie)","42.2","33,416"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-science-education-research-iiser---kolkata-529446","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Science Education & Research (IISER) - Kolkata","Nadia","#15","#852","(tie)","42.0","N/A"
"https://www.usnews.com/education/best-global-universities/jamia-millia-islamia-529538","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Jamia Millia Islamia","New Delhi","#16","#856","(tie)","41.9","10,481"
"https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-hyderabad-529636","https://www.usnews.com/static-atlas/assets/img/education/education.svg","Indian Institute of Technology (IIT) - Hyderabad","Teangana","#17","#875","(tie)","41.4","N/A"
